seizoen,speeldag,datum,tijd,id_match,thuisploeg_stamnummer,thuisploeg,uitploeg_stamnummer,uitploeg,doelpunten_thuisploeg,doelpunten_uitploeg
2020,18,2020/12/16,18:45:00,3415390,1,R Antwerp FC,2159,SV Zulte Waregem,0,1
2020,18,2020/12/16,21:00:00,3415391,7,KAA Gent,1669,KVRS Waasland - SK Beveren,3,0
2020,18,2020/12/16,21:00:00,3415393,19,KV Kortrijk,16,Standard Luik,2,1
2020,18,2020/12/17,20:45:00,3415397,25,KV Mechelen,3,Club Brugge,0,3
2020,18,2020/12/30,20:45:00,3415396,322,Sint-Truidense VV,13,Beerschot V.A.,1,0
2020,18,2021/01/06,20:45:00,3415392,1792,KAS Eupen,290,KRC Genk,1,4
2020,19,2020/12/26,14:00:00,3415400,3,Club Brugge,1792,KAS Eupen,3,0
2020,19,2020/12/26,16:15:00,3415405,2159,SV Zulte Waregem,12,Cercle Brugge,1,0
2020,19,2020/12/26,18:30:00,3415402,2495,Oud-Heverlee Leuven,31,KV Oostende,1,2
2020,19,2020/12/26,18:30:00,3415406,19,KV Kortrijk,7,KAA Gent,1,0
2020,19,2020/12/26,20:45:00,3415404,16,Standard Luik,322,Sint-Truidense VV,1,2
2020,19,2020/12/27,13:30:00,3415399,1,R Antwerp FC,29,R Charleroi SC,2,1
2020,19,2020/12/27,16:00:00,3415401,290,KRC Genk,1669,KVRS Waasland - SK Beveren,1,1
2020,19,2020/12/27,18:15:00,3415403,35,RSC Anderlecht,13,Beerschot V.A.,2,0
2020,19,2020/12/27,20:45:00,3415398,25,KV Mechelen,216,Royal Excel Moeskroen (-2022),2,1
2020,20,2021/01/15,20:45:00,3415410,1792,KAS Eupen,35,RSC Anderlecht,2,0
2020,20,2021/01/16,16:15:00,3415411,31,KV Oostende,19,KV Kortrijk,2,1
2020,20,2021/01/16,18:30:00,3415412,216,Royal Excel Moeskroen (-2022),290,KRC Genk,2,0
2020,20,2021/01/16,18:30:00,3415415,1669,KVRS Waasland - SK Beveren,2159,SV Zulte Waregem,1,5
2020,20,2021/01/16,20:45:00,3415413,29,R Charleroi SC,25,KV Mechelen,0,1
2020,20,2021/01/17,13:30:00,3415409,7,KAA Gent,1,R Antwerp FC,0,1
2020,20,2021/01/17,16:00:00,3415408,12,Cercle Brugge,16,Standard Luik,0,1
2020,20,2021/01/17,18:15:00,3415407,13,Beerschot V.A.,3,Club Brugge,0,3
2020,20,2021/01/17,20:45:00,3415414,322,Sint-Truidense VV,2495,Oud-Heverlee Leuven,3,1
2020,21,2021/01/22,20:45:00,3415421,35,RSC Anderlecht,1669,KVRS Waasland - SK Beveren,0,0
2020,21,2021/01/23,16:15:00,3415419,25,KV Mechelen,1792,KAS Eupen,3,0
2020,21,2021/01/23,18:30:00,3415418,19,KV Kortrijk,12,Cercle Brugge,1,2
2020,21,2021/01/23,18:30:00,3415424,322,Sint-Truidense VV,216,Royal Excel Moeskroen (-2022),0,2
2020,21,2021/01/23,20:45:00,3415416,1,R Antwerp FC,31,KV Oostende,1,2
2020,21,2021/01/24,13:30:00,3415417,3,Club Brugge,290,KRC Genk,3,2
2020,21,2021/01/24,16:00:00,3415423,2159,SV Zulte Waregem,13,Beerschot V.A.,0,3
2020,21,2021/01/24,18:15:00,3415422,16,Standard Luik,29,R Charleroi SC,3,2
2020,21,2021/01/24,20:45:00,3415420,2495,Oud-Heverlee Leuven,7,KAA Gent,0,3
2020,22,2021/01/26,18:45:00,3415428,1792,KAS Eupen,1,R Antwerp FC,0,2
2020,22,2021/01/26,18:45:00,3415433,1669,KVRS Waasland - SK Beveren,25,KV Mechelen,2,3
2020,22,2021/01/26,21:00:00,3415431,216,Royal Excel Moeskroen (-2022),35,RSC Anderlecht,1,1
2020,22,2021/01/27,18:45:00,3415425,13,Beerschot V.A.,19,KV Kortrijk,0,0
2020,22,2021/01/27,18:45:00,3415429,290,KRC Genk,2159,SV Zulte Waregem,3,2
2020,22,2021/01/27,21:00:00,3415427,7,KAA Gent,322,Sint-Truidense VV,1,1
2020,22,2021/01/27,21:00:00,3415432,29,R Charleroi SC,2495,Oud-Heverlee Leuven,1,1
2020,22,2021/01/28,18:45:00,3415426,12,Cercle Brugge,3,Club Brugge,1,2
2020,22,2021/01/28,21:00:00,3415430,31,KV Oostende,16,Standard Luik,2,2
2020,23,2021/01/29,20:45:00,3415434,1,R Antwerp FC,1669,KVRS Waasland - SK Beveren,3,2
2020,23,2021/01/30,16:15:00,3415438,25,KV Mechelen,290,KRC Genk,0,0
2020,23,2021/01/30,18:30:00,3415436,1792,KAS Eupen,216,Royal Excel Moeskroen (-2022),1,1
2020,23,2021/01/30,18:30:00,3415439,2495,Oud-Heverlee Leuven,13,Beerschot V.A.,0,1
2020,23,2021/01/30,20:45:00,3415437,19,KV Kortrijk,29,R Charleroi SC,1,3
2020,23,2021/01/31,13:30:00,3415435,3,Club Brugge,16,Standard Luik,3,1
2020,23,2021/01/31,16:00:00,3415441,2159,SV Zulte Waregem,31,KV Oostende,2,1
2020,23,2021/01/31,18:15:00,3415440,35,RSC Anderlecht,7,KAA Gent,0,0
2020,23,2021/01/31,20:45:00,3415442,322,Sint-Truidense VV,12,Cercle Brugge,3,0
2020,24,2021/02/05,20:45:00,3415448,216,Royal Excel Moeskroen (-2022),19,KV Kortrijk,0,3
2020,24,2021/02/06,16:15:00,3415447,31,KV Oostende,322,Sint-Truidense VV,3,1
2020,24,2021/02/06,18:30:00,3415445,12,Cercle Brugge,25,KV Mechelen,0,1
2020,24,2021/02/06,18:30:00,3415451,1669,KVRS Waasland - SK Beveren,3,Club Brugge,0,2
2020,24,2021/02/06,20:45:00,3415450,16,Standard Luik,2495,Oud-Heverlee Leuven,1,1
2020,24,2021/02/07,13:30:00,3415444,13,Beerschot V.A.,1,R Antwerp FC,1,2
2020,24,2021/02/07,16:00:00,3415449,29,R Charleroi SC,2159,SV Zulte Waregem,1,1
2020,24,2021/02/07,18:15:00,3415446,290,KRC Genk,35,RSC Anderlecht,1,2
2020,24,2021/02/07,20:45:00,3415443,7,KAA Gent,1792,KAS Eupen,2,2
2020,25,2021/01/19,18:45:00,3415458,216,Royal Excel Moeskroen (-2022),1669,KVRS Waasland - SK Beveren,1,1
2020,25,2021/01/19,21:00:00,3415459,35,RSC Anderlecht,29,R Charleroi SC,3,0
2020,25,2021/01/20,16:30:00,3415456,19,KV Kortrijk,322,Sint-Truidense VV,0,2
2020,25,2021/01/20,18:45:00,3415454,1792,KAS Eupen,13,Beerschot V.A.,3,1
2020,25,2021/01/20,18:45:00,3415457,25,KV Mechelen,16,Standard Luik,0,4
2020,25,2021/01/20,21:00:00,3415452,1,R Antwerp FC,12,Cercle Brugge,1,0
2020,25,2021/01/20,21:00:00,3415453,3,Club Brugge,31,KV Oostende,2,1
2020,25,2021/01/21,18:45:00,3415460,2159,SV Zulte Waregem,2495,Oud-Heverlee Leuven,2,3
2020,25,2021/01/21,21:00:00,3415455,290,KRC Genk,7,KAA Gent,1,1
2020,26,2021/02/12,20:45:00,3415465,2495,Oud-Heverlee Leuven,19,KV Kortrijk,3,1
2020,26,2021/02/13,18:30:00,3415468,322,Sint-Truidense VV,2159,SV Zulte Waregem,1,2
2020,26,2021/02/14,13:30:00,3415467,16,Standard Luik,1,R Antwerp FC,1,1
2020,26,2021/02/14,16:00:00,3415462,13,Beerschot V.A.,25,KV Mechelen,1,2
2020,26,2021/02/14,20:45:00,3415463,12,Cercle Brugge,35,RSC Anderlecht,0,0
2020,26,2021/02/15,20:45:00,3415464,7,KAA Gent,216,Royal Excel Moeskroen (-2022),4,0
2020,26,2021/02/17,17:00:00,3415469,1669,KVRS Waasland - SK Beveren,1792,KAS Eupen,1,0
2020,26,2021/02/17,19:00:00,3415461,31,KV Oostende,290,KRC Genk,3,1
2020,26,2021/03/12,20:45:00,3415466,29,R Charleroi SC,3,Club Brugge,1,1
2020,27,2021/02/19,20:45:00,3415474,25,KV Mechelen,7,KAA Gent,1,1
2020,27,2021/02/20,16:15:00,3415472,1792,KAS Eupen,31,KV Oostende,1,1
2020,27,2021/02/20,18:30:00,3415475,216,Royal Excel Moeskroen (-2022),12,Cercle Brugge,1,2
2020,27,2021/02/20,20:45:00,3415478,1669,KVRS Waasland - SK Beveren,29,R Charleroi SC,1,1
2020,27,2021/02/21,13:30:00,3415476,35,RSC Anderlecht,19,KV Kortrijk,0,2
2020,27,2021/02/21,16:00:00,3415477,2159,SV Zulte Waregem,16,Standard Luik,3,2
2020,27,2021/02/21,18:15:00,3415473,290,KRC Genk,13,Beerschot V.A.,1,2
2020,27,2021/02/21,20:45:00,3415470,1,R Antwerp FC,322,Sint-Truidense VV,0,0
